x:143.74351596832275, y:248.79351549882156, score:(0, 0, 128)
x:38.61610418099623, y:394.34880396036004, score:(0, 0, 128)
x:322.7723621221689, y:193.84880396036002, score:(0, 0, 128)
x:89.61850802715007, y:78.17571968298692, score:(0, 0, 128)
x:127.08966187330392, y:193.84880396036002, score:(0, 0, 128)
x:271.7699582760151, y:16.48341382925327, score:(0, 0, 128)
x:9.471875397058634, y:291.2069770372831, score:(0, 0, 128)
x:155.19303519909198, y:322.05313088343695, score:(0, 0, 128)
x:143.74351596832275, y:248.79351549882156, score:(0, 0, 128)
x:38.61610418099623, y:394.34880396036004, score:(0, 0, 128)
x:322.7723621221689, y:193.84880396036002, score:(0, 0, 128)
x:89.61850802715007, y:78.17571968298692, score:(0, 0, 128)
x:127.08966187330392, y:193.84880396036002, score:(0, 0, 128)
x:271.7699582760151, y:16.48341382925327, score:(0, 0, 128)
x:9.471875397058634, y:291.2069770372831, score:(0, 0, 128)
x:155.19303519909198, y:322.05313088343695, score:(0, 0, 128)
x:350.8757275067843, y:175.53390011420618, score:(0, 0, 128)
