point1:(48.41394083316509, 17.31682728804075), point2:(163.40914051349347, 47.93221007860624), score:0.9955015778541565
point1:(163.40914051349347, 47.93221007860624), point2:(191.43317897503192, 185.70144814711352), score:0.9940040707588196
point1:(267.7745251288781, 219.18702507019043), point2:(334.4524097442627, 277.5476019932674), score:0.9708977341651917
point1:(87.06778698701125, 318.68702507019043), point2:(71.6062485254728, 200.05240968557504), score:0.9110071063041687
point1:(71.6062485254728, 200.05240968557504), point2:(191.43317897503192, 185.70144814711352), score:0.8462037444114685
point1:(263.90914051349347, 219.18702507019043), point2:(333.48606359041656, 276.5908712240366), score:0.9020206332206726
point1:(47.44759467931894, 17.31682728804075), point2:(163.40914051349347, 47.93221007860624), score:0.9943572878837585
point1:(70.63990237162663, 201.00914045480582), point2:(86.1014408331651, 319.6437558394212), score:0.9071422219276428
point1:(56.144710063934326, 184.74471737788275), point2:(86.1014408331651, 319.6437558394212), score:0.8253907561302185
point1:(263.90914051349347, 219.18702507019043), point2:(333.48606359041656, 276.5908712240366), score:0.9020206332206726
point1:(47.44759467931894, 17.31682728804075), point2:(163.40914051349347, 47.93221007860624), score:0.9943572878837585
point1:(70.63990237162663, 201.00914045480582), point2:(86.1014408331651, 319.6437558394212), score:0.9071422219276428
point1:(56.144710063934326, 184.74471737788275), point2:(86.1014408331651, 319.6437558394212), score:0.8253907561302185
point1:(263.90914051349347, 219.18702507019043), point2:(333.48606359041656, 276.5908712240366), score:0.9020206332206726
point1:(47.44759467931894, 17.31682728804075), point2:(163.40914051349347, 47.93221007860624), score:0.9943572878837585
point1:(70.63990237162663, 201.00914045480582), point2:(86.1014408331651, 319.6437558394212), score:0.9071422219276428
point1:(56.144710063934326, 184.74471737788275), point2:(86.1014408331651, 319.6437558394212), score:0.8253907561302185
point1:(263.90914051349347, 219.18702507019043), point2:(333.48606359041656, 276.5908712240366), score:0.9020206332206726
point1:(47.44759467931894, 17.31682728804075), point2:(163.40914051349347, 47.93221007860624), score:0.9943572878837585
point1:(70.63990237162663, 201.00914045480582), point2:(86.1014408331651, 319.6437558394212), score:0.9071422219276428
point1:(56.144710063934326, 184.74471737788275), point2:(86.1014408331651, 319.6437558394212), score:0.8253907561302185
point1:(263.90914051349347, 219.18702507019043), point2:(333.48606359041656, 276.5908712240366), score:0.9020206332206726
point1:(47.44759467931894, 17.31682728804075), point2:(163.40914051349347, 47.93221007860624), score:0.9943572878837585
point1:(70.63990237162663, 201.00914045480582), point2:(86.1014408331651, 319.6437558394212), score:0.9071422219276428
point1:(56.144710063934326, 184.74471737788275), point2:(86.1014408331651, 319.6437558394212), score:0.8253907561302185
point1:(263.90914051349347, 219.18702507019043), point2:(333.48606359041656, 276.5908712240366), score:0.9020206332206726
point1:(47.44759467931894, 17.31682728804075), point2:(163.40914051349347, 47.93221007860624), score:0.9943572878837585
point1:(70.63990237162663, 201.00914045480582), point2:(86.1014408331651, 319.6437558394212), score:0.9071422219276428
point1:(56.144710063934326, 184.74471737788275), point2:(86.1014408331651, 319.6437558394212), score:0.8253907561302185
