point1:(264.8754866673396, 219.18702507019043), point2:(333.48606359041656, 277.5476019932674), score:0.9403426647186279
point1:(44.54855621778048, 17.31682728804075), point2:(160.51010205195502, 50.802402386298546), score:0.9954533576965332
point1:(160.51010205195502, 50.802402386298546), point2:(194.3322174365704, 207.7062558394212), score:0.9890183210372925
point1:(70.63990237162663, 201.00914045480582), point2:(86.1014408331651, 319.6437558394212), score:0.9599874019622803
point1:(70.63990237162663, 201.00914045480582), point2:(101.56297929470355, 376.0908712240366), score:0.8854881525039673
point1:(86.1014408331651, 319.6437558394212), point2:(101.56297929470355, 376.0908712240366), score:0.8661444187164307
point1:(318.0245251288781, 96.72547930937547), point2:(268.74087128272424, 92.89855623245239), score:0.9741153717041016
point1:(264.8754866673396, 219.18702507019043), point2:(333.48606359041656, 277.5476019932674), score:0.9403426647186279
point1:(44.54855621778048, 17.31682728804075), point2:(160.51010205195502, 50.802402386298546), score:0.9954533576965332
point1:(160.51010205195502, 50.802402386298546), point2:(194.3322174365704, 207.7062558394212), score:0.9890183210372925
point1:(70.63990237162663, 201.00914045480582), point2:(86.1014408331651, 319.6437558394212), score:0.9599874019622803
point1:(70.63990237162663, 201.00914045480582), point2:(101.56297929470355, 376.0908712240366), score:0.8854881525039673
point1:(86.1014408331651, 319.6437558394212), point2:(101.56297929470355, 376.0908712240366), score:0.8661444187164307
point1:(318.0245251288781, 96.72547930937547), point2:(268.74087128272424, 92.89855623245239), score:0.9741153717041016
point1:(44.54855621778048, 17.31682728804075), point2:(160.51010205195502, 50.802402386298546), score:0.9954533576965332
point1:(70.63990237162663, 201.00914045480582), point2:(86.1014408331651, 319.6437558394212), score:0.9599874019622803
