x:264.8754866673396, y:220.1437558394212, score:(0, 0, 128)
x:47.44759467931894, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:195.29856359041653, y:203.87933276249814, score:(0, 0, 128)
x:87.06778698701125, y:318.68702507019043, score:(0, 0, 128)
x:264.8754866673396, y:220.1437558394212, score:(0, 0, 128)
x:47.44759467931894, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:195.29856359041653, y:203.87933276249814, score:(0, 0, 128)
x:87.06778698701125, y:318.68702507019043, score:(0, 0, 128)
x:70.63990237162663, y:200.05240968557504, score:(0, 0, 128)
x:264.8754866673396, y:220.1437558394212, score:(0, 0, 128)
x:47.44759467931894, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:195.29856359041653, y:203.87933276249814, score:(0, 0, 128)
x:87.06778698701125, y:318.68702507019043, score:(0, 0, 128)
x:70.63990237162663, y:200.05240968557504, score:(0, 0, 128)
x:310.2937558981088, y:368.43702507019043, score:(0, 0, 128)
x:264.8754866673396, y:220.1437558394212, score:(0, 0, 128)
x:47.44759467931894, y:17.31682728804075, score:(0, 0, 128)
x:163.40914051349347, y:47.93221007860624, score:(0, 0, 128)
x:195.29856359041653, y:203.87933276249814, score:(0, 0, 128)
x:87.06778698701125, y:318.68702507019043, score:(0, 0, 128)
x:70.63990237162663, y:200.05240968557504, score:(0, 0, 128)
x:310.2937558981088, y:368.43702507019043, score:(0, 0, 128)
x:187.5677943596473, y:226.8408712240366, score:(0, 0, 128)
x:245.54856359041653, y:21.143750364963825, score:(0, 0, 128)
x:244.5822174365704, y:8.706250364963825, score:(0, 0, 128)
