x:168.0923133263221, y:98.41850814452539, score:(0, 0, 128)
x:49.93846012995794, y:364.4665924218985, score:(0, 0, 128)
x:134.8615440955529, y:233.37043857574463, score:(0, 0, 128)
x:233.63077486478366, y:152.3992847295908, score:(0, 0, 128)
x:325.93846717247595, y:66.60841199067923, score:(0, 0, 128)
x:168.0923133263221, y:98.41850814452539, score:(0, 0, 128)
x:49.93846012995794, y:364.4665924218985, score:(0, 0, 128)
x:134.8615440955529, y:233.37043857574463, score:(0, 0, 128)
x:233.63077486478366, y:152.3992847295908, score:(0, 0, 128)
x:325.93846717247595, y:66.60841199067923, score:(0, 0, 128)
x:168.0923133263221, y:98.41850814452539, score:(0, 0, 128)
x:49.93846012995794, y:364.4665924218985, score:(0, 0, 128)
x:134.8615440955529, y:233.37043857574463, score:(0, 0, 128)
x:233.63077486478366, y:152.3992847295908, score:(0, 0, 128)
x:325.93846717247595, y:66.60841199067923, score:(0, 0, 128)
x:168.0923133263221, y:98.41850814452539, score:(0, 0, 128)
x:49.93846012995794, y:364.4665924218985, score:(0, 0, 128)
x:134.8615440955529, y:233.37043857574463, score:(0, 0, 128)
x:233.63077486478366, y:152.3992847295908, score:(0, 0, 128)
x:325.93846717247595, y:66.60841199067923, score:(0, 0, 128)
