x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:72.17908822573149, y:153.60793546529916, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
x:99.82331899496226, y:62.74255084991455, score:(0, 0, 128)
x:39.28245361034687, y:95.45408931145302, score:(0, 0, 128)
x:66.92668437957764, y:77.28101238837608, score:(0, 0, 128)
x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:72.17908822573149, y:153.60793546529916, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
x:99.82331899496226, y:62.74255084991455, score:(0, 0, 128)
x:39.28245361034687, y:95.45408931145302, score:(0, 0, 128)
x:66.92668437957764, y:77.28101238837608, score:(0, 0, 128)
x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:72.17908822573149, y:153.60793546529916, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
x:99.82331899496226, y:62.74255084991455, score:(0, 0, 128)
x:39.28245361034687, y:95.45408931145302, score:(0, 0, 128)
x:66.92668437957764, y:77.28101238837608, score:(0, 0, 128)
x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:72.17908822573149, y:153.60793546529916, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
x:99.82331899496226, y:62.74255084991455, score:(0, 0, 128)
x:39.28245361034687, y:95.45408931145302, score:(0, 0, 128)
x:66.92668437957764, y:77.28101238837608, score:(0, 0, 128)
x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:72.17908822573149, y:153.60793546529916, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
x:99.82331899496226, y:62.74255084991455, score:(0, 0, 128)
x:39.28245361034687, y:95.45408931145302, score:(0, 0, 128)
x:66.92668437957764, y:77.28101238837608, score:(0, 0, 128)
x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:72.17908822573149, y:153.60793546529916, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
x:99.82331899496226, y:62.74255084991455, score:(0, 0, 128)
x:39.28245361034687, y:95.45408931145302, score:(0, 0, 128)
x:66.92668437957764, y:77.28101238837608, score:(0, 0, 128)
x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:72.17908822573149, y:153.60793546529916, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
x:99.82331899496226, y:62.74255084991455, score:(0, 0, 128)
x:39.28245361034687, y:95.45408931145302, score:(0, 0, 128)
x:66.92668437957764, y:77.28101238837608, score:(0, 0, 128)
x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:72.17908822573149, y:153.60793546529916, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
