point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
point1:(97.8882228411161, 177.23293546529916), point2:(72.17908822573149, 153.60793546529916), score:0.9636297225952148
point1:(97.8882228411161, 177.23293546529916), point2:(99.82331899496226, 62.74255084991455), score:0.9343641400337219
point1:(72.17908822573149, 153.60793546529916), point2:(73.28485745650072, 42.752162768290596), score:0.9264503717422485
point1:(39.006011302654564, 133.16322392683762), point2:(39.28245361034687, 95.45408931145302), score:0.8685444593429565
